country_code,shop_id,city_name,first_online_date,days_in_data,eff_online_days,asp,online_rate,is_healthy_store,b_cancel_rate,activity_days,recurrency_rate,commission_per_order,ted_per_order,photo_rate,b_p1p2
MX,5764607985280877320,Merida,2024-05-16,14,13,167.35,0.2314200991144691,0,0.0,null,0.0,52.65,65.8,0.8769230769230769,0.0031931878658861094
MX,5764607985377346307,Cancun,2024-05-21,14,27,267.989855072463768116,0.877064713064713,27,0.041666666666666664,null,0.0,78.724202898550724638,87.834347826086956522,0.7257683215130024,0.010231556273559504
MX,5764607985427677379,Mexico City,2024-05-14,14,9,0,0.814045045045045,8,0.0,null,0.0,0,0,1.0,0.0
MX,5764607985427677443,Mexico City,2024-04-24,14,17,119.17391304347826087,0.9847066942719116,17,0.0,null,0.4,35.431304347826086957,45.869565217391304348,1.0,0.004705400981996726
MX,5764607985742250772,Monterrey,2024-06-04,2,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
MX,5764607985792581763,Guadalajara,2024-04-22,14,0,0,0.0,0,0.0,null,0.0,0,0,0.9411764705882353,0.0
MX,5764607985838719585,Guadalajara,2024-05-13,14,54,127.285690789473684211,0.9529493827160493,40,0.0,null,0.2636986301369863,39.348421052631578947,61.750197368421052632,0.6329211746522411,0.006801419796382495
MX,5764607985884856732,Tijuana,2024-05-08,14,86,255.500013245033112583,0.7980659058101769,86,0.0,null,0.5075471698113208,75.606172185430463576,80.122251655629139073,1.0,0.018324043728918975
MX,5764607987575160842,Victoria,2024-05-11,14,17,404.195652173913043478,0.9872540160642571,0,0.04,null,0.4,108.521739130434782609,1.652173913043478261,0.3669064748201439,0.0031203195207189214
MX,5764607987898123122,Guadalajara,2024-05-24,13,29,131.714578313253012048,0.5607164021164022,13,0.0,null,0.40784313725490196,37.412530120481927711,47.179156626506024096,0.9807162534435262,0.010247136829415311
MX,5764607987919094356,Mexico City,2024-05-09,14,0,0,0.0,0,0.0,null,0.0,0,0,0.875,0.0
MX,5764607988057506384,Jaurez CHIH,2024-05-17,14,22,168.127473684210526316,0.6899024616813748,1,0.0,null,0.25,44.889263157894736842,63.245789473684210526,0.7012987012987013,0.006012024048096192
MX,5764607988346913616,Tijuana,2024-05-24,13,13,155.908666666666666667,0.8489242132305715,13,0.0,null,0.32142857142857145,44.888333333333333333,31.05,0.8707482993197279,0.005272407732864675
MX,5764607991022879356,Guadalajara,2024-05-14,14,7,131,0.7834583333333334,7,0.0,null,0.1875,36.06,32.333333333333333333,1.0,0.003694581280788177
MX,5764607991224206118,Mexico City,2024-05-18,14,0,0,0.0,0,0.0,null,0.10526315789473684,0,0,0.7142857142857143,0.0
MX,5764607991475863555,Aguascalientes,2024-05-31,6,23,239.087314285714285714,0.7960510771742166,23,0.04477611940298507,null,0.13,65.684857142857142857,52.760628571428571429,1.0,0.010242418821003667
MX,5764607992411193967,Mexico City,2024-05-16,14,0,0,0.0,0,0.0,null,0.0,0,0,0.9583333333333334,0.0
MX,5764607992625102986,Monterrey,2024-06-01,5,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
MX,5764607992885150543,Torreon,2024-05-23,14,43,176.27962962962962963,0.8700073827980804,43,0.029069767441860465,null,0.3116883116883117,48.407407407407407407,11.299691358024691358,0.975,0.01811977879750559
MX,5764607992906121839,Mexico City,2024-05-13,14,49,98.966538461538461538,0.9008197228408811,49,0.011406844106463879,null,0.4965197215777262,27.878653846153846154,47.409461538461538462,0.6644295302013423,0.008018781633026405
MX,5764607993010979212,Mexico City,2024-04-27,14,21,104.408181818181818182,0.9409547461368656,21,0.0,null,0.0,39.676363636363636364,71.878181818181818182,0.84,0.005709540122495588
MX,5764607993359106502,Pachuca,2024-04-26,14,3,0,0.058634182355112585,0,0.0,null,0.0,0,0,0.13333333333333333,0.0
MX,5764607993937920347,Saltillo,2024-05-01,14,29,165.591666666666666667,0.512018972807074,24,0.0,null,0.07407407407407407,49.030123456790123457,51.916049382716049383,1.0,0.020274446779577203
MX,5764607993988251825,Ciudad Obregon,2024-06-03,3,21,126.0828,0.654332358674464,21,0.0,null,0.5477941176470589,33.5464,15.736666666666666667,0.8781163434903048,0.02147711826008156
MX,5764607994160218891,Ensenada,2024-05-22,14,5,242.166666666666666667,0.18445512820512822,1,0.45454545454545453,null,0.0,65,10.833333333333333333,0.8333333333333334,0.006417736289381563
MX,5764607994265076646,Mexico City,2024-05-31,6,4,0,0.5565299145299145,2,0.0,null,0.14285714285714285,0,0,0.9666666666666667,0.0
MX,5764607994340573314,Aguascalientes,2024-05-13,14,6,0,0.5374701670644392,5,1.0,null,0.16666666666666666,0,0,0.8571428571428571,7.342143906020558E-4
MX,5764607994504151609,Mexico City,2024-05-17,14,40,198.718433734939759036,0.7249192176870747,28,0.011904761904761904,null,0.3684210526315789,57.283012048192771084,27.407530120481927711,0.6833438885370487,0.018007935700478178
MX,5764607994739033050,Monterrey,2024-06-05,1,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
MX,5764607994869055633,Mexico City,2024-04-26,14,1,0,0.05582302313071543,0,0.0,null,0.0,0,0,1.0,0.0
MX,5764607994894222126,Mexico City,2024-05-23,14,15,156.256666666666666667,0.5774106652006598,11,0.15789473684210525,null,0.25,44.17,32.181333333333333333,1.0,0.004311322895393692
MX,5764607994948747411,Tampico,2024-04-25,14,10,189.065,0.29560328825245297,3,0.25,null,0.375,49.540714285714285714,68.544285714285714286,0.75,0.006980802792321117
