month_,country_code,organization_type,city_name,first_online_date,shop_cnt,complete_orders,daily_orders
6,MX,Normal,Matamoros,2024-02-14,1,44,1.4666666666666666
6,MX,Normal,Los Mochis-Guasave,2024-05-16,1,15,0.5
6,CO,Normal,Bogotá_ D.C.,2024-05-11,1,48,1.6
6,MX,Normal,Tijuana,2024-01-29,4,76,2.533333333333333
6,MX,Normal,Guadalajara,2024-06-14,9,380,22.352941176470587
6,MX,Normal,Monterrey,2024-01-27,7,609,20.3
6,MX,Normal,Oaxaca,2024-01-30,1,14,0.4666666666666667
6,CO,Normal,Bogotá_ D.C.,2024-03-21,2,4,0.13333333333333333
6,CO,CKA,Cali,2024-05-01,1,115,3.9655172413793105
6,MX,Normal,Merida,2024-04-09,2,6,0.2608695652173913
6,PE,CKA,Lima,2024-05-21,4,228,7.6
6,CO,Normal,Medellín,2024-02-05,7,182,6.066666666666666
6,CO,CKA,Bogotá_ D.C.,2024-06-01,2,134,4.466666666666667
6,MX,Normal,Pachuca,2024-04-26,2,1,0.16666666666666666
6,PE,Normal,Lima,2024-03-21,10,698,23.266666666666666
6,MX,Normal,Chihuahua,2024-01-30,1,0,0.0
6,MX,CKA,Culiacan,2024-01-25,1,2,0.06666666666666667
6,MX,CKA,Tuxtla Gutierrez,2024-04-08,1,64,2.6666666666666665
6,MX,Normal,Pachuca,2024-05-11,1,42,1.4
6,MX,CKA,Morelia,2024-02-01,1,25,0.8333333333333334
6,CO,Normal,Medellín,2024-05-09,3,44,1.4666666666666666
6,MX,Normal,Puebla,2024-06-08,3,125,5.434782608695652
6,MX,CKA,Puebla,2024-05-23,1,153,5.1
6,MX,CKA,Poza Rica de Hidalgo,2024-04-20,1,12,1.0
6,MX,CKA,Toluca,2024-05-02,4,48,1.6
6,MX,Normal,Cuernavaca,2024-04-02,1,1,0.03333333333333333
6,MX,Normal,Tlaxcala,2024-03-11,1,4,0.13333333333333333
6,CO,Normal,Bogotá_ D.C.,2024-05-03,11,457,15.233333333333333
6,MX,CKA,Cuernavaca,2024-02-27,1,46,1.5333333333333334
6,CO,CKA,Bogotá_ D.C.,2024-04-08,1,1,0.16666666666666666
6,PE,CKA,Lima,2024-05-23,1,50,1.6666666666666667
6,MX,Normal,Tijuana,2024-02-12,1,103,3.433333333333333
6,MX,Normal,Tuxtla Gutierrez,2024-06-25,2,42,7.0
6,MX,Normal,Jaurez CHIH,2024-04-17,1,1,0.06666666666666667
6,MX,Normal,Cuernavaca,2024-04-10,2,49,2.227272727272727
6,MX,Normal,Puerto Vallarta,2024-04-01,1,102,3.4
6,MX,Normal,San Luis Potosi,2024-05-31,1,0,0.0
6,PE,CKA,Lima,2024-04-24,2,0,0.0
6,CR,Normal,San Jose,2024-04-11,2,28,3.111111111111111
6,MX,Normal,Los Mochis-Guasave,2024-05-09,1,17,0.5666666666666667
6,CO,Normal,Medellín,2024-04-12,6,219,10.95
6,MX,CKA,Villahermosa,2024-05-03,1,0,0.0
6,CO,Normal,Bogotá_ D.C.,2024-05-08,7,232,7.733333333333333
6,MX,Normal,Hermosillo,2024-01-11,1,0,0.0
6,MX,Normal,Morelia,2024-06-26,3,11,2.2
6,MX,Normal,Hermosillo,2024-06-07,3,81,3.375
6,MX,Normal,Mexico City,2024-04-08,10,337,56.166666666666664
6,MX,Normal,Cuernavaca,2024-02-01,1,0,0.0
6,PE,Normal,Lima,2024-04-03,5,8,8.0
6,MX,Normal,Chihuahua,2024-03-09,2,0,0.0
6,CO,Normal,Medellín,2024-04-11,5,176,19.555555555555557
6,MX,Normal,Cancun,2024-02-29,1,0,0.0
6,MX,Normal,Mazatlan,2024-04-05,1,20,0.7407407407407407
6,MX,Normal,Mexico City,2024-03-11,12,902,30.066666666666666
6,CO,CKA,Cali,2024-05-07,1,71,2.3666666666666667
6,MX,Normal,La Paz,2024-01-16,1,0,0.0
6,MX,Normal,Culiacan,2024-06-15,1,2,0.125
6,MX,Normal,Monterrey,2024-02-08,8,197,6.566666666666666
6,MX,Normal,Mexico City,2024-04-25,14,337,14.652173913043478
6,CO,CKA,Medellín,2024-06-14,3,35,2.0588235294117645
6,CR,CKA,San Jose,2024-02-08,1,10,0.3333333333333333
6,MX,Normal,Leon,2024-01-21,1,20,0.6666666666666666
6,MX,CKA,Merida,2024-01-15,1,0,0.0
6,MX,Normal,Aguascalientes,2024-05-08,2,18,0.6
6,MX,Normal,San Luis Potosi,2024-03-27,1,56,1.8666666666666667
6,MX,Normal,Chihuahua,2024-03-21,1,0,0.0
6,MX,Normal,Monterrey,2024-03-17,1,0,0.0
6,MX,Normal,Monterrey,2024-04-18,3,452,32.285714285714285
6,MX,Normal,Hermosillo,2024-03-14,2,9,0.3
6,MX,Normal,Hermosillo,2024-04-03,2,136,4.689655172413793
6,MX,Normal,Durango,2024-04-05,3,444,16.444444444444443
6,CO,Normal,Cali,2024-02-23,2,11,0.36666666666666664
6,CO,CKA,Medellín,2024-04-19,1,10,0.7692307692307693
6,MX,Normal,Torreon,2024-04-05,1,12,0.4444444444444444
6,CO,Normal,Barranquilla,2024-06-12,2,13,0.6842105263157895
6,PE,CKA,Lima,2024-04-25,1,129,5.608695652173913
6,MX,Normal,Leon,2024-02-15,6,72,2.4
6,MX,Normal,Cancun,2024-02-28,2,7,0.23333333333333334
6,CO,Normal,Cali,2024-03-30,2,0,0.0
6,MX,Normal,Tijuana,2024-05-22,2,114,3.8
6,MX,Normal,Guadalajara,2024-05-30,1,207,6.9
6,MX,Normal,Tuxtla Gutierrez,2024-04-15,2,11,0.8461538461538461
6,MX,Normal,Toluca,2024-05-09,2,2,0.06666666666666667
6,MX,CKA,Puebla,2024-01-25,2,81,2.7
6,CO,Normal,Barranquilla,2024-06-15,1,25,1.5625
6,MX,Normal,Queretaro,2024-01-12,3,179,5.966666666666667
6,MX,Normal,Culiacan,2024-03-27,1,27,0.9
6,MX,Normal,Jaurez CHIH,2024-04-19,1,113,6.647058823529412
6,MX,CKA,Guadalajara,2024-01-31,1,0,0.0
6,CO,Normal,Medellín,2024-04-20,1,3,0.16666666666666666
6,MX,Normal,Cancun,2024-06-12,1,4,0.21052631578947367
6,MX,Normal,Puebla,2024-02-23,6,91,3.033333333333333
6,MX,Normal,Oaxaca,2024-04-11,1,183,8.714285714285714
6,MX,Normal,Colima,2024-04-25,1,9,0.391304347826087
6,MX,Normal,Mexico City,2024-03-03,2,1,0.03333333333333333
6,CO,Normal,Bogotá_ D.C.,2024-06-12,4,127,6.684210526315789
6,CR,CKA,San Jose,2024-02-21,2,0,0.0
6,MX,Normal,Chihuahua,2024-04-30,1,0,0.0
6,MX,Normal,Tijuana,2024-02-05,1,0,0.0
6,MX,Normal,Colima,2024-05-10,1,172,5.733333333333333
6,CO,Normal,Cali,2024-01-15,2,14,0.4666666666666667
6,MX,Normal,Merida,2024-04-17,1,0,0.0
6,MX,Normal,Tampico,2024-02-02,2,22,0.7333333333333333
6,CO,CKA,Cali,2024-05-20,1,0,0.0
6,MX,Normal,Queretaro,2024-06-26,1,7,1.4
6,MX,Normal,Puebla,2024-05-17,5,206,6.866666666666666
6,MX,Normal,Guadalajara,2024-02-08,4,3,0.1
6,MX,Normal,Solidaridad,2024-06-27,1,0,0.0
6,CR,Normal,San Jose,2024-06-05,2,129,4.961538461538462
6,MX,CKA,Aguascalientes,2024-04-05,1,41,1.5185185185185186
6,MX,Normal,Queretaro,2024-06-24,2,31,4.428571428571429
6,CO,Normal,Bogotá_ D.C.,2024-02-12,14,301,10.033333333333333
6,MX,Normal,Veracruz,2024-04-17,3,36,2.4
6,MX,Normal,Leon,2024-04-15,2,38,2.923076923076923
6,MX,Normal,Culiacan,2024-02-02,1,0,0.0
6,MX,Normal,La Paz,2024-06-03,1,280,10.0
6,PE,CKA,Lima,2024-02-15,1,0,0.0
6,MX,Normal,Mexico City,2024-04-14,1,0,0.0
6,MX,Normal,Mazatlan,2024-04-11,5,39,4.333333333333333
6,CO,Normal,Cali,2024-04-12,1,0,0.0
6,MX,CKA,Jaurez CHIH,2024-05-11,1,271,9.033333333333333
6,MX,Normal,Merida,2024-06-13,2,79,4.388888888888889
6,CO,Normal,Bogotá_ D.C.,2024-05-06,9,685,22.833333333333332
6,MX,Normal,Mazatlan,2024-03-13,1,8,0.26666666666666666
