country_code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Colima,SME,2024-06-24 / 2024-06-30,58.0
MX,Poza Rica de Hidalgo,SME,2024-06-24 / 2024-06-30,9.0
MX,Celaya,SME,2024-06-24 / 2024-06-30,38.0
MX,Las Choapas,SME,2024-06-24 / 2024-06-30,6.0
MX,Tlaxcala,SME,2024-06-24 / 2024-06-30,26.0
MX,Cordoba,SME,2024-06-24 / 2024-06-30,30.0
MX,Cancun,SME,2024-06-24 / 2024-06-30,107.0
MX,Aguascalientes,SME,2024-06-24 / 2024-06-30,92.0
CO,Cartagena,CKA,2024-06-24 / 2024-06-30,1.0
CO,Bucaramanga,CKA,2024-06-24 / 2024-06-30,9.0
CO,Bogota D.C.,CKA,2024-06-24 / 2024-06-30,363.0
CO,Medellin,CKA,2024-06-24 / 2024-06-30,257.0
CO,Barranquilla,CKA,2024-06-24 / 2024-06-30,46.0
CO,Cali,CKA,2024-06-24 / 2024-06-30,82.0
CO,Bucaramanga,SME,2024-06-24 / 2024-06-30,28.0
CO,Cucuta,SME,2024-06-24 / 2024-06-30,1.0
CO,Cartagena,SME,2024-06-24 / 2024-06-30,10.0
CO,Medellin,SME,2024-06-24 / 2024-06-30,301.0
CO,Cali,SME,2024-06-24 / 2024-06-30,169.0
CO,Barranquilla,SME,2024-06-24 / 2024-06-30,84.0
CO,Bogota D.C.,SME,2024-06-24 / 2024-06-30,330.0
CR,San Jose,CKA,2024-06-24 / 2024-06-30,98.0
CR,San Jose,SME,2024-06-24 / 2024-06-30,104.0
PE,Lima,CKA,2024-06-24 / 2024-06-30,81.0
PE,Lima,SME,2024-06-24 / 2024-06-30,127.0
MX,Poza Rica de Hidalgo,CKA,2024-06-17 / 2024-06-23,1.0
MX,San Luis Potosi,CKA,2024-06-17 / 2024-06-23,26.0
MX,Queretaro,CKA,2024-06-17 / 2024-06-23,79.0
MX,Los Mochis-Guasave,CKA,2024-06-17 / 2024-06-23,23.0
MX,Culiacan,CKA,2024-06-17 / 2024-06-23,119.0
MX,Victoria,CKA,2024-06-17 / 2024-06-23,11.0
MX,Mazatlan,CKA,2024-06-17 / 2024-06-23,22.0
MX,Xalapa,CKA,2024-06-17 / 2024-06-23,1.0
MX,Hermosillo,CKA,2024-06-17 / 2024-06-23,66.0
MX,Delicias,CKA,2024-06-17 / 2024-06-23,4.0
MX,La Paz,CKA,2024-06-17 / 2024-06-23,7.0
MX,Acapulco,CKA,2024-06-17 / 2024-06-23,1.0
MX,Matamoros,CKA,2024-06-17 / 2024-06-23,20.0
MX,Campeche,CKA,2024-06-17 / 2024-06-23,1.0
MX,Tuxtla Gutierrez,CKA,2024-06-17 / 2024-06-23,9.0
MX,Coatzacoalcos,CKA,2024-06-17 / 2024-06-23,3.0
MX,Chihuahua,CKA,2024-06-17 / 2024-06-23,155.0
MX,Zacatecas,CKA,2024-06-17 / 2024-06-23,8.0
MX,Salamanca,CKA,2024-06-17 / 2024-06-23,1.0
MX,Leon,CKA,2024-06-17 / 2024-06-23,37.0
MX,Aguascalientes,CKA,2024-06-17 / 2024-06-23,26.0
MX,Tijuana,CKA,2024-06-17 / 2024-06-23,130.0
MX,Jaurez CHIH,CKA,2024-06-17 / 2024-06-23,159.0
MX,Manzanillo,CKA,2024-06-17 / 2024-06-23,8.0
MX,Tampico,CKA,2024-06-17 / 2024-06-23,28.0
MX,Guadalajara,CKA,2024-06-17 / 2024-06-23,435.0
MX,Los Cabos,CKA,2024-06-17 / 2024-06-23,8.0
MX,Torreon,CKA,2024-06-17 / 2024-06-23,41.0
MX,Solidaridad,CKA,2024-06-17 / 2024-06-23,2.0
MX,Tapachula,CKA,2024-06-17 / 2024-06-23,1.0
MX,Puerto Vallarta,CKA,2024-06-17 / 2024-06-23,4.0
MX,Saltillo,CKA,2024-06-17 / 2024-06-23,42.0
