country_code,city_name,organization_type,stat_date(月),Daily Orders
MX,Victoria,SME,2024-06-01 / 2024-06-01,792
MX,Saltillo,SME,2024-06-01 / 2024-06-01,955
MX,Torreon,SME,2024-06-01 / 2024-06-01,1825
MX,Reynosa,SME,2024-06-01 / 2024-06-01,0
MX,Queretaro,DK,2024-06-01 / 2024-06-01,101
MX,Jaurez CHIH,DK,2024-06-01 / 2024-06-01,475
MX,Delicias,CKA,2024-06-01 / 2024-06-01,55
MX,San Juan del Río,KA,2024-06-01 / 2024-06-01,287
MX,San Miguel de Allende,CKA,2024-06-01 / 2024-06-01,0
MX,Piedras Negras,KA,2024-06-01 / 2024-06-01,0
MX,Valles City,KA,2024-06-01 / 2024-06-01,-
MX,Torreon,KA,2024-06-01 / 2024-06-01,2137
MX,Reynosa,KA,2024-06-01 / 2024-06-01,0
MX,Zacatecas,KA,2024-06-01 / 2024-06-01,509
MX,Matamoros,KA,2024-06-01 / 2024-06-01,1182
MX,Victoria,KA,2024-06-01 / 2024-06-01,1014
MX,San Miguel de Allende,KA,2024-06-01 / 2024-06-01,0
MX,Tampico,KA,2024-06-01 / 2024-06-01,1180
MX,Durango,KA,2024-06-01 / 2024-06-01,1406
MX,Valles City,CKA,2024-06-01 / 2024-06-01,-
MX,Irapuato,CKA,2024-06-01 / 2024-06-01,116
MX,Salamanca,CKA,2024-06-01 / 2024-06-01,31
MX,Celaya,CKA,2024-06-01 / 2024-06-01,235
MX,Nuevo Laredo,CKA,2024-06-01 / 2024-06-01,74
MX,Reynosa,CKA,2024-06-01 / 2024-06-01,0
MX,Matamoros,CKA,2024-06-01 / 2024-06-01,299
MX,Piedras Negras,CKA,2024-06-01 / 2024-06-01,-
MX,Monclova,CKA,2024-06-01 / 2024-06-01,0
MX,Torreon,CKA,2024-06-01 / 2024-06-01,714
MX,Monterrey,SME,2024-06-01 / 2024-06-01,8745
MX,Chihuahua,CKA,2024-06-01 / 2024-06-01,2864
MX,Durango,CKA,2024-06-01 / 2024-06-01,1367
MX,San Juan del Río,CKA,2024-06-01 / 2024-06-01,70
MX,Jaurez CHIH,CKA,2024-06-01 / 2024-06-01,3579
MX,Victoria,CKA,2024-06-01 / 2024-06-01,189
MX,Saltillo,CKA,2024-06-01 / 2024-06-01,743
MX,Monterrey,CKA,2024-06-01 / 2024-06-01,6236
MX,Aguascalientes,CKA,2024-06-01 / 2024-06-01,539
MX,Zacatecas,CKA,2024-06-01 / 2024-06-01,174
MX,Tampico,CKA,2024-06-01 / 2024-06-01,792
MX,Jaurez CHIH,KA,2024-06-01 / 2024-06-01,3884
MX,Chihuahua,KA,2024-06-01 / 2024-06-01,2001
MX,Monclova,KA,2024-06-01 / 2024-06-01,0
MX,Nuevo Laredo,KA,2024-06-01 / 2024-06-01,1275
MX,Salamanca,KA,2024-06-01 / 2024-06-01,145
MX,San Luis Potosi,KA,2024-06-01 / 2024-06-01,1191
MX,Queretaro,KA,2024-06-01 / 2024-06-01,2158
